item,product,unitmark
소스류,피코크 양지 육수,500G
과자,피코크 서울스낵 두부과자 고소한맛,80G
아이스크림,아이스크림 미니컵 프로즌요거트플레인, 
소스류,속초 멍게젓갈,500G
기타간식,떠먹는 티라미수,150G
정육_햄,닭가슴살무가염,100G
냉동식품,피코크 한입치킨까스,400G
빵,네니아플러스 네니아우리밀단호박팥찐빵,400G
우유,서울우유,200ML
과자,크라운 콘칩,70G
냉동식품,씨제이 비비고 차돌깍두기볶음밥,410G
사탕,농심 멘토스 콜라향,375G
빵,하니카스테라 잉글리쉬파운드 세트, 
과자,농심 감자군것질 오리지널,70G
치즈,래핑카우플레인,128G
반찬,용대리황태해장국, 
김치,제주김치 간편하고 맛좋은 제주 백년초 백김치,650G
냉동식품,피코크 명품 새우 부추 떡 만두,700G
사탕,메이오 카라멜 코코아 앤 밀크,720G
빵,소프트 제리롤케익 더블세트, 
정육_햄,씨제이 더건강한베이컨스테이크,400G
아이스크림,피코크 젤라또 커피,946ML
김치,씨제이 비비고 썰은배추김치,3600KG
우유,귀리우유 선물세트,250ML
빵,시원한 특가 화과방 디저트 모음전 빵양갱과자, 
과자,해태 칸츄리콘 콘버터맛,90G
김치,종가집 썰어담은맛김치페트,500G
정육_햄,청정원 콰트로치즈그릴비엔나,300G
사탕,캔디미 꼬마캐리,70G
반찬,권기옥명인 멸치볶음,140G
과자,유기농 쌀로만든 쌀이팡 단호박, 
반찬,옛날 간장찜닭,200G
우유,빙그레 딸기맛 우유,240ML
소스류,동광 가자미식해,1KG
김치,종가집 오래오래 맛있는 포기김치,4KG
사탕,계피향 캔디,4KG
소스류,찬마루 고소한맛 쌈장,450G
기타간식,식물성 고단백 스마트밀 오엠지 카카오 싱글팩, 
김치,동원 양반 자연을담그다 포기김치,2200G
아이스크림,라베스트 티라미수컵, 
정육_햄,김해축협 한우등심 시즈닝스테이크냉장,300G
사탕,스코 스키틀즈오리지날,100G
기타간식,풀무원 아임리얼 떠먹는 라즈베리,130G
빵,정통꿀호떡,513G
김치,씨제이비비고 열무김치,1500G
김치,씨제이 비비고 총각김치,900G
빵,토이쿠키 만들기,300G
정육_햄,미트원 언양식양념소불고기,500G
기타간식,아빠농장 어린이 호박고구마 말랭이, 
우유,빙그레 바나나맛 우유 벨류,1440ML
과자,슈가파우더,500G
치즈,퍼시픽 콜비 잭 치즈,227G
과자,농심 바나나킥,140G
우유,매일 허쉬 쵸콜렛 드링크,940ML
반찬,피코크 연근 피클,300G
과자,오리온 예감 화덕칩 머쉬룸파스타맛,125G
반찬,명란젓갈정란,400G
빵,마스카포네와 크림 치즈가 어우러진 정통 수제 치즈케익 치즈트랩 더블프로마쥬 딸기치즈케익, 
반찬,숙 장아찌 취나물,350G
아이스크림,테이트프리모 젤라또 아이스크림,5L
아이스크림,또로롱 호두마루, 
냉동식품,아임닭 닭가슴살 김치만두, 
아이스크림,하겐다즈 벨지안 초코렛 아이스크림,100ML
반찬,대림선 신선한 무말랭이,150G
김치,뽀뽀뜨김치 과일동치미, 
우유,매일 오리지널,600ML
아이스크림,아이스크림 스틱바 바닐라카라멜아몬드, 
우유,요미요미 유기농 주스 레드비트골든사과,125ML
사탕,폭신폭신 말랑카우 딸기,158G
빵,후앙 치즈 치아바타, 
사탕,키즈매니아 해피밴,15G
정육_햄,사조오양 국내산 닭고기로 만든 버팔로윙,1KG
과자,오리온 도도한 나쵸 치즈맛,186G
정육_햄,굽네 볼케이노 치밥,200G
정육_햄,광릉식 불고기고추장불고기,200G
우유,매일 우유 무지방,900ML
소스류,피코크 매운 돼지 불고기 양념 소스,500G
사탕,피코크 무설탕 레몬 캔디,40G
냉동식품,해태 쫄깃한 물만두4002, 
소스류,풀무원 풀무온 국내산 다진 마늘,250G
치즈,슈레이버 크림치즈 스프레드,28G
치즈,매일유업 상하 피자용 슈레드치즈,500G
과자,오리온 오감자딥 양념바베큐,104G
우유,푸르밀 생과즙 바나나 우유,900ML
빵,큐원 다크 컴파운드 버튼,150G
김치,더반찬 포기김치,1900G
냉동식품,노브랜드 칠리 새우,400G
정육_햄,미트원 양념돼지불고기,500G
사탕,아폴로,180G
김치,씨제이 하선정 포기김치,1KG
아이스크림,옥동자,70ML
냉동식품,레알만두 오리엔탈 새우하가우,300G
냉동식품,백종원 홍콩반점 해물육교자, 
사탕,캐빈디쉬하비 커피캔디,175G
기타간식,돌 곤약젤리 자스민 복숭아,130ML
기타간식,로얄프레즐 초코,100G
과자,헤르스 케틀 쿡 포테이토 칩,170G
정육_햄,사미헌의 왕양념갈비, 
정육_햄,피코크 리얼 오리지날 베이컨,300G
반찬,화덕갈치구이, 
기타간식,피코크 떠먹는 쿠키앤크림 케익,100G
김치,제주김치 백년초 백김치,3KG
김치,참다올 전라도광주김치 백김치,10KG
치즈,덴마크 짜지않은 치즈,252G
아이스크림,슈퍼콘 바닐라, 
아이스크림,또로롱 메로나, 
정육_햄,자이언트 통 닭다리 오븐구이 바베큐맛,170G
과자,농심 알새우칩,68G
반찬,풀무원 튜브형 다진마늘,80G
냉동식품,잡채군만두,1350G
냉동식품,피코크 고추 잡채 호빵,360G
과자,노브랜드 스위트페스츄리 165 G, 
우유,오트밸리 카페에디션,1000ML
냉동식품,한끼식사 굿굽네 닭가슴살 만두,180G
우유,아침의선물,450ML
소스류,씨제이 다담 버섯샤브칼국수양념,150G
사탕,트레핀커피맛캔디,500G
아이스크림,또로롱 마카롱바, 
아이스크림,빙그레 슈퍼콘 딸기, 
소스류,피코크 제대로 맛을 내는 매운 돼지 갈비찜 양념,230G
우유,서울우유,1000ML
냉동식품,창화당 탱글탱글 새우낙지 굴림만두, 
치즈,동원냉장냉동 래핑카우 치즈디퍼즈,35G
김치,대복 열무물김치,3KG
반찬,종가집 국산 무말랭이,150G
정육_햄,숯향불고기,150G
과자,발아통밀부침가루,500G
치즈,동원 쫀득쫀득한 모짜렐라 슬라이스치즈,270G
반찬,양념소갈비살, 
과자,노브랜드 코코넛쿠키,400G
냉동식품,에어프라이어 순살치킨,480G
정육_햄,안동식 순살찜닭,1KG
우유,앙팡,200ML
우유,파스퇴르 무지방우유,930ML
과자,레알감자,20G
정육_햄,불껍데기,300G
정육_햄,굽네 닭가슴살 잡채볶음밥,200G
치즈,벨큐브 유자 치즈,78G
치즈,알펜하인 셀렉트 브리 치즈,125G
치즈,국내산 임실치즈 피자롤 고구마롤 돈까스, 
정육_햄,본래직화 돼지껍데기,200G
사탕,완도명가 톳 다시마캬라멜,180G
사탕,스코 롯데아이스브레이커스듀오스트로베리, 
과자,노브랜드 고르곤졸라 치즈 소프트 콘,145G
사탕,담라 츄이 캔디,350G
정육_햄,비비큐 실속세트 청양고추 닭가슴살 소시지,120G
반찬,더반찬 싱글제육볶음, 
반찬,피코크 묵은지 김치 전,390G
아이스크림,하겐다즈 쿠키크림,473ML
반찬,무말랭이 피클,485G
반찬,새우젓갈,400G
사탕,카토 시오아메소금사탕,160G
소스류,동광 해양심층수 새우젓,1KG
정육_햄,춘천에서만든순수닭갈비,100G
치즈,노브랜드 체다슬라이스치즈,900G
사탕,유가맛 캔디,4KG
정육_햄,다향 밥엔덕,85G
아이스크림,해태 체리마루,540ML
냉동식품,양념강정,200G
김치,깐깐 송도순 나박김치,5KG
기타간식,피코크 다섯가지 곡물로 만든 오곡 초코볼,510G
과자,수미칩 허니머스타드,85G
아이스크림,월드콘 아이스크림, 
반찬,도들샘 고추잡채또띠야, 
냉동식품,등심돈카츠, 
정육_햄,씨제이 맥스봉 할라피뇨,490G
소스류,동광 신안어담새우젓육젓,1KG
아이스크림,빙그레 슈퍼콘 초코,750ML
김치,제주김치 유산균 맛김치,10KG
아이스크림,부라보콘, 
소스류,동광 비빔날치알,130G
아이스크림,또로롱 바밤바, 
기타간식,초록마을 뚜또유기농블루베리푸딩,110G
소스류,동광젓갈 해양심층수 새우젓,200G
사탕,트롤리 사우어 글로웜즈,100G
우유,매일유업 상하목장 슬로우밀크 저지방,180ML
빵,프랑스 프리미엄 미니 시나몬스월 냉동생지,35G
빵,로투스 오리지날 벨기에 와플, 
아이스크림,매그넘 아몬드바,100ML
빵,서울식품 턴오버,75G
아이스크림,조안나 업소용대용량아이스크림 바닐라, 
냉동식품,프리미엄 엑스오 교자,324G
정육_햄,피코크 제주 흑돈 고추장 불고기,300G
반찬,고추장소스진미채,135G
기타간식,켈로그 베리앤넛 에너지바,30G
빵,진한 블루베리 파운드 더블세트, 
정육_햄,씨제이 맥스봉 갈릭비엔나,70G
반찬,피코크 메추리알 장조림,130G
치즈,만토바 그라나파다노,200G
사탕,가슈가이 스미야키 커피사탕,95G
빵,하루노유키 바움쿠헨 행운의 케익 맛차, 
우유,파스퇴르 우유,2300ML
아이스크림,바밤바 아이스크림, 
기타간식,풀무원 모짜렐라브리또스위트텐더,345G
반찬,종가집 무말랭이기획세트,360G
반찬,국내제조 더덕무침,1KG
기타간식,모듬 바람떡,60G
사탕,후르트텔라 요구르트 캔디,590G
기타간식,노브랜드 콘오리지널바,120G
반찬,피코크 무말랭이무침,130G
사탕,베베토,980G
정육_햄,돼지 목심 양념 구이,800G
정육_햄,미소담은 언양식소불고기,500G
사탕,시크릿쥬쥬 왕반지사탕,6G
김치,마음심은 이종임 열무물김치,4KG
소스류,안동낫또 안전한먹거리 꽉찬구성 국내산 검은콩낫또,45G
아이스크림,빙그레 키위아작,75ML
사탕,목캔디파워허브파우치,133G
김치,참다올 전라도광주김치 묵은지,10KG
반찬,명란젓갈분란,400G
우유,남양 맛있는 우유지티 아인슈타인 베이비,555ML
김치,종가집 볶음김치,100G
빵,프랑스 미니베이네 크림필링 냉동빵,25G
과자,프링글스 사워크림앤어니언,134G
우유,귀리우유귀리음료 오리지널,250ML
과자,토스티토스 오리지날 또띨라 칩,284G
냉동식품,노브랜드 그릴함박스테이크,560G
우유,고칼슘우유,900ML
정육_햄,케이쿡 매콤바베큐 폭립,400G
과자,크라운 카라멜 메이플콘,154G
아이스크림,끌레도르 초코파인트,474ML
소스류,속초 선호 젓갈선물세트, 
반찬,청정원 휘슬링쿡 사천식고추잡채,240G
냉동식품,오뚜기 맛있는 치즈핫도그,400G
과자,청우 순쌀 과자 미본 오리지널,288G
사탕,크라운 마이쮸 사과볼,110G
기타간식,나가사키 카스텔라 허니,270G
반찬,호두멸치볶음,100G
과자,오울트리 바나나칩, 
사탕,디저트 종합캔디,2KG
기타간식,씨제이 맛군밤,60G
냉동식품,올반 동그랑땡,760G
사탕,포스 오리온 아이셔 츄잉캔디,159G
기타간식,먹기좋게 잘린 찹쌀떡,150G
김치,도들샘포기김치,5KG
냉동식품,창화당 납작고기왕군만두, 
정육_햄,더건강한베이컨,90G
정육_햄,그릴 닭가슴살,100G
과자,노브랜드 콘소메맛 팝콘,210G
과자,노브랜드 카스타드, 
과자,자가비 오리지날,90G
아이스크림,찰떡국화빵 아이스크림, 
빵,부드럽고 은은한 커피콩빵, 
사탕,미성 머쉬멜로우,135G
과자,청우 튀밥,140G
김치,종가집 포기김치,8KG
기타간식,입안애다짐붉은대게살,80G
빵,메스테마허 미니 프로틴 브레드, 
과자,미니 프레첼 체다치즈맛,85G
반찬,감자채햄볶음,250G
과자,꿀꽈배기,90G
우유,남양 고소한 저지방우유,900ML
정육_햄,동원 통그릴윈너,300G
과자,엉클팝 길쭉이 보리과자,400G
정육_햄,동원냉장냉동 켄터키후랑크,360G
김치,씨제이 비비고 썰은배추김치,80G
소스류,성진 청국장분말,350G
빵,메스테마허 미니 파워 브레드, 
소스류,소고기볶음고추장,250G
빵,하루노유키 겹겹이 구워낸 바움쿠헨 피크닉, 
정육_햄,목우촌 주부,250G
기타간식,피코크 퐁당쇼콜라헤이즐넛,200G
소스류,동광 웰빙오징어젓매운,300G
정육_햄,도드람한돈 영양스테이크,100G
사탕,스키틀즈 오리지날,45G
냉동식품,노브랜드 순살 치킨 너겟,800G
반찬,셀프두부조림,600G
사탕,몽스 아이스버그 캔디멍크,30G
빵,잉글리쉬 파운드 더블세트, 
정육_햄,목우촌 프라임 비엔나소시지,240G
우유,덴마크 무항생제 우유,120ML
빵,럭키 밀크 크레이프케이크, 
빵,잉글리쉬파운드진한 초콜릿 파운드, 
아이스크림,스위트 아이스 망고 바스틱,50G
김치,참다올 전라도광주김치 묵은지,5KG
김치,강순의명가 열무김치,2KG
반찬,오징어채 볶음,100G
빵,진한 블루베리 파운드,620G
김치,씨제이 비비고 썰은배추김치,500G
김치,여수 돌산 갓김치,5KG
빵,피코크 떠먹는 레어치즈 케익,100G
아이스크림,빙그레 참붕어싸만코,150ML
과자,빙그레 꽃게랑,70G
반찬,고추장굴비 세트,500G
기타간식,피코크 퐁당쇼콜라,200G
김치,마음심은 이종임의 포기김치,10KG
빵,프랑스 프리미엄 미니 크로와상 냉동생지,25G
우유,남양 맛있는우유 지티,900ML
냉동식품,씨제이 고메 바삭튀겨낸 모짜렐라돈카츠,450G
빵,프랑스 미니베이네 초콜릿 헤이즐넛필링 냉동빵,25G
아이스크림,스트로베리치즈케익 아이스크림,474ML
빵,삼립 저온숙성 숙식빵,420G
과자,오리온 오징어 땅콩 오리지널,98G
정육_햄,존쿡 모듬소시지,410G
냉동식품,소담잎새군만두,380G
우유,남양 고소한락토프리저지방,900ML
정육_햄,더더건강한 통오리오븐구이 슬라이스,400G
사탕,에그디노,16G
빵,안흥식품 고소한 할매찹쌀 호떡,1000G
김치,피코크 특제육수 조선호텔 총각김치,1500G
빵,사요 우리쌀로 빚은 밥알인절미,40G
소스류,안동낫또 우리콩 백태,54G
반찬,삼색야채절임,450G
냉동식품,씨제이 고추깻잎군만두,392G
아이스크림,하겐다즈 파인트,814ML
사탕,과일맛캔디,4KG
아이스크림,더위사냥 커피 아이스크림, 
과자,수미칩 바질페스토,85G
기타간식,시리얼이탈리아 뮤즐리바 클래식,150G
냉동식품,하림 바삭바삭아몬드치킨텐더,420G
빵,월넛파운드진한 초콜릿 파운드, 
과자,대왕어포, 
소스류,다담된장찌개양념,500G
치즈,과일치즈 영양간식디저트, 
기타간식,청정원 고구마츄,180G
아이스크림,해태 초코청크마루,540ML
빵,씨제이 냉동케익, 
우유,전용목장 멸균우유,200ML
치즈,램브란트,200G
기타간식,히로타 딸기크림슈, 
사탕,바주카 쥬시드롭팝,26G
사탕,포스 농심 멘토스 초코화이트,38G
기타간식,씨제이렛츠웰맛밤,80G
반찬,코다리간장조림,250G
반찬,바다의 맛을 담은 젓갈, 
반찬,설렁탕, 
사탕,스카치캔디 커피맛,317G
빵,소프트제리롤 잉글리쉬파운드 세트, 
기타간식,쌀눈쌀로만든유기농쌀가루중간입자,25G
빵,레드벨벳 크림치즈케익,35G
기타간식,풀무원 모짜렐라브리또에그토마토치킨,345G
과자,노브랜드 코코넛크런치쿠키,175G
정육_햄,해드림 왕족발슬라이스,525G
우유,파스퇴르 저온살균우유 기획세트,930ML
우유,아데스 아몬드 오리지널,210ML
반찬,피코크 계피 호떡,480G
치즈,치즈육포,40G
정육_햄,본래백순대,1KG
과자,씨제이 맥스칩 어니언믹스,30G
아이스크림,하겐다즈 초코렛 아이스크림,946ML
빵,프랑스 냉동 쁘띠버터 마들렌 냉동빵,18G
우유,매일 아몬드브리즈 오리지널,950ML
김치,배윤자 동치미,3KG
치즈,끼리 딥앤크런치,140G
반찬,동광젓갈 양념조개젓,180G
정육_햄,피코크 얇은베이컨,75G
냉동식품,해태 김치손만두,800G
빵,소프트제리롤 호두파운드 세트, 
기타간식,블루베리동결건조스낵,12G
과자,타피오카, 
소스류,맥꾸룸 청국장,160G
김치,전라도 포기김치,3300G
아이스크림,끌레도르 프리미엄아이스크림 연인선물세트, 
치즈,매일 상하치즈 더블업 체다슬라이스,360G
치즈,체다 슬라이스 치즈,400G
정육_햄,마포서서갈비양념 소로스구이,230G
아이스크림,또로롱 죠스바, 
사탕,코우코우 마우스캔디,13G
정육_햄,동원냉장냉동 토핑초밥유부바베큐참치,230G
사탕,크라운 마이쮸 딸기복숭아,328G
치즈,벨큐브 체다,125G
빵,럭키 블루베리 크레이프 케이크, 
반찬,마늘쫑무침,500G
아이스크림,위즐 바닐라 피칸 아이스크림,700ML
우유,파스퇴르 후레쉬우유,600ML
빵,삼립 냉동 정통와플 플레인, 
사탕,천하 캐빈디쉬 종합과일캔디,200G
냉동식품,더반찬 통살생선까스,270G
반찬,감자볶음, 
사탕,씨제이 전립소 쏘팔메토, 
사탕,곤약젤리애빠지다 청사과맛,130G
아이스크림,엑설런트 아이스크림, 
소스류,씨제이 행복한콩 유산균 생나또 가쓰오간장,49G
사탕,스카치 캔디 세가지맛,317G
소스류,신안 프리미엄특등급새우젓추젓,2KG
냉동식품,모닝하임 행복한 수제흰살생선까스,1200G
빵,메나쥬리 스트로베리크림롤, 
정육_햄,오리지널 닭가슴살,150G
소스류,안동낫또 우리콩,54G
기타간식,동원에프비 저스트 양파칩,25G
치즈,지 데어리워크스 고다 치즈,250G
기타간식,무농약 반건조 첫사랑 군고구마,65G
냉동식품,풀무원 모짜렐라 호떡만두,600G
정육_햄,소대창구이,500G
과자,피코크 온더보더 나쵸칩 오리지널,100G
정육_햄,이거네양념 갈매기살,300G
정육_햄,동원 동물친구들 비엔나,275G
김치,피코크 조선호텔 볶음 김치,100G
반찬,하남쭈꾸미 하남갑오징어,350G
과자,오울트리 코코넛크래커, 
반찬,밥도둑양념생깻잎,150G
사탕,청우 호박엿,400G
반찬,피코크 제육볶음 양념소스,200G
반찬,더반찬 싱글부대찌개, 
김치,제주김치 제주 백년초 백김치,650G
소스류,씨제이 다담 치킨데리야끼양념,140G
반찬,고추절임, 
과자,생생칩 아메리칸버거맛,120G
반찬,국내제조 안심반찬 장아찌 간장절임,1KG
우유,남양 아인슈타인 멸균 플러스,120ML
사탕,밀크레 서울우유 밀크릿,500G
빵,촉촉한 카스테라 호두과자,1300G
과자,오리온 포카칩 표고버섯맛,126G
우유,남양 맛있는우유지티 락토프리,180ML
사탕,과일 종합캔디,2KG
우유,매일두유,190ML
빵,프랑스 프리미엄 뺑오쇼콜라 냉동생지,75G
정육_햄,진저원 제대로 만든 간장 제육불고기,200G
김치,명가일품 강원도 고랭지 절임배추,7KG
정육_햄,진주햄 천하장사 오리지날 미니,400G
아이스크림,빙그레 그라시아쿠앤크,710ML
사탕,목캔디허브,243G
빵,안흥식품 원조 할매쌀찐빵, 
빵,생미쉘 프렌치도넛 초코마블,180G
치즈,데본 클로티드 크림,170G
과자,농심 감자깡,250G
빵,프랑스 프리미엄 뺑포숑 파베이크,450G
반찬,동광젓갈 웰빙창란젓,180G
아이스크림,노브랜드 밀크 아이스 크림,660ML
냉동식품,하림 매콤닭강정,250G
반찬,더덕오이사과무침,185G
기타간식,와인안주 건망고 열대과일 태국 루쿤,85G
기타간식,맥케인 리에주슈가와플,90G
사탕,롤리팝 어쏘티드, 
우유,아몬드브리즈 언스위트,190ML
과자,오리온 꼬북칩 히말라야소금맛,160G
사탕,클로렐라 젤리,4KG
냉동식품,대림 고기감자떡만두,500G
사탕,검정콩 캔디,4KG
기타간식,제주담은 곡물연구소 느랏 통곡물 씨리얼바,22G
소스류,피코크 제대로 맛을 내는 낙지 볶음 양념 소스,140G
빵,수제 전주 보리 초코파이,90G
소스류,꼬막장,180G
빵,월넛파운드,650G
사탕,멘토스 어쏘티드 후르티 믹스,810G
사탕,리틀팝 어쏘티드, 
사탕,바주카 푸쉬팝 캔디 듀오두가지맛,16G
기타간식,리얼밀슈스트링,700G
아이스크림,불라 리얼 데어리 아이스크림 바닐라,2L
반찬,피코크 계란장조림,400G
소스류,속초아바이마을전통젓갈 명태회무침,1KG
우유,아이전용 안심 베이비워터 매일 첫 워터,500ML
냉동식품,피코크 한입치즈돈까스,400G
우유,매일 아몬드브리즈 언스위트,950ML
기타간식,씨제이 쁘띠첼 요거젤리 밀감,90G
우유,멸균우유,200ML
정육_햄,구워먹는 닭가슴살 탕수육,450G
정육_햄,포천이동갈비 선물세트,2200G
빵,삼립 미니 꿀호떡 요요,192G
아이스크림,라라스윗 녹차, 
김치,씨제이비비고 묵은지,400G
냉동식품,그릴떡갈비,300G
냉동식품,씨제이 비비고 낙지비빔밥,410G
정육_햄,라퀴진 브런치 베이컨,200G
사탕,마이쮸 포도사과,328G
빵,삼립 고구마무스 조각케익, 
과자,쌀로별 오리지널,156G
아이스크림,유기농 아이스크림 바닐라 474 ML, 
우유,아몬드브리즈 오리지널,190ML
과자,꼬깔콘 군옥수수맛,166G
우유,목장의 신선함이 살아 있는 저지방,1L
김치,누리원 아삭한 맛김치,5KG
아이스크림,팽이팽이,280ML
우유,덴마크 건강한 딸기딸기우유,220ML
김치,테이스티홈 국내산 총각김치,3KG
사탕,검은통깨사탕 대용량사탕,35KG
반찬,무말랭이무침,1KG
기타간식,풀무원 토이쿠키 만들기,300G
반찬,국내제조 간장마늘쫑장아찌,1KG
소스류,피코크 궁중식 떡볶이 양념소스,300G
아이스크림,끌레도르 프리미엄아이스크림 베리믹스바, 
소스류,피코크 제대로 맛을 내는 소 불고기 양념,180G
사탕,무민 과일맛 소프트캔디, 
반찬,순살코다리강정, 
기타간식,씨제이 쁘띠첼 과일젤리 포도,210G
우유,후디스 유기농우유,180ML
정육_햄,한상차림 엘에이 한입갈비 선물세트,2KG
반찬,한돈간장불고기, 
사탕,하리보 골드베렌 젤리 곰돌이,250G
사탕,피에스타 롤리팝, 
치즈,매일 상하 샐러드용 슈레드 치즈,210G
김치,종가집 썰어담은맛김치,1200G
반찬,피코크 초마 탕수육,450G
빵,프랑스 프리미엄 뺑라크림 냉동생지,90G
냉동식품,굿초이스치킨너겟,1KG
김치,강순의명가 총각김치,1KG
빵,브레드샵 피터스 플레인 베이글, 
사탕,자일리톨 슈가프리 닥터존스 캔디,454G
반찬,파육개장, 
우유,저지방 우유,1L
정육_햄,한촌설렁탕 화로구이,1KG
정육_햄,닭가슴살 수제 소시지, 
과자,액트,234G
빵,서울식품 미니크림치즈파이,35G
정육_햄,씨제이 더건강한 통삼겹스테이크페퍼,175G
정육_햄,미트원 양념소엘에이갈비,500G
정육_햄,국내산 순살 춘천닭갈비,1KG
아이스크림,빙그레 비비빅,70ML
빵,삼립 땅콩 미니샌드,160G
소스류,속초 두레찬 명태회무침,500G
우유,연세 런닝맨 사과 유산균음료,190ML
반찬,동광젓갈 웰빙낙지젓,180G
과자,노브랜드 고구마형 과자,300G
김치,종가집 담백한 나박김치,3KG
아이스크림,아이스노이에 오호츠크솔트 아이스크림, 
정육_햄,자르지않아도 되는 순수조각닭갈비,500G
반찬,피코크 우엉 채 조림,100G
정육_햄,피코크 샌드위치햄,400G
빵,연유팥앙금빵, 
치즈,서울 지방을 줄인 고칼슘 치즈,270G
